mean,var,temp
9.816911,0.062363,34.23735
9.794333,0.058593,34.25294
9.758465,0.054206,34.24823
9.686591,0.067038,34.25559
9.78146,0.046211,34.25147
9.737724,0.067911,34.25617
9.775814,0.071095,34.26794
9.811705,0.051946,34.27059
9.72584,0.061104,34.27882
9.700604,0.074337,34.28147
9.815423,0.064699,34.29294
9.781695,0.050803,34.29235
9.727089,0.061675,34.30353
9.754418,0.05212,34.30088
9.719225,0.058786,34.29824
9.71516,0.049607,34.3097
9.756014,0.047244,34.31088
9.745515,0.066226,34.2953
9.806166,0.056195,34.30735
9.851492,0.051391,34.31588
9.801647,0.058784,34.31264
9.814291,0.063592,34.31029
9.74503,0.064776,34.33088
9.714706,0.066343,34.34647
9.782239,0.064441,34.35412
9.824031,0.060461,34.35176
9.826097,0.059042,34.35648
9.701045,0.061343,34.36118
9.771451,0.056887,34.35883
9.788206,0.05895,34.36177
9.754118,0.06157,34.36735
9.754893,0.045872,34.36794
9.846741,0.037863,34.36677
9.822014,0.058229,34.36235
9.770449,0.05267,34.36294
9.718908,0.062833,34.36382
9.843729,0.052505,34.37383
9.773026,0.063612,34.37941
9.828592,0.058399,34.36853
9.825503,0.070107,34.36295
9.789709,0.058901,34.38147
9.748747,0.050044,34.38147
9.799357,0.058472,34.39294
9.868991,0.052299,34.39147
9.779791,0.045818,34.37647
9.808607,0.053854,34.38294
9.827443,0.056278,34.38353
9.81544,0.046263,34.38559
9.77633,0.051099,34.39824
9.803854,0.041708,34.39647
9.768957,0.040611,34.40265
9.810608,0.045676,34.40588
9.795439,0.050242,34.40735
9.817968,0.044054,34.40029
9.849207,0.038638,34.40559
9.799499,0.049885,34.39706
9.739607,0.055839,34.39147
9.796075,0.053711,34.39265
9.800693,0.066755,34.385
9.792397,0.047273,34.38059
9.778582,0.045309,34.38118
9.805151,0.055349,34.37647
9.752878,0.042215,34.375
9.821842,0.043453,34.37177
9.811411,0.060025,34.37353
9.759237,0.037568,34.37794
9.803812,0.051427,34.38
9.805586,0.070138,34.38412
9.760828,0.056372,34.37618
9.827052,0.057117,34.38441
9.760412,0.053472,34.38353
9.734419,0.031105,34.39235
9.803831,0.056186,34.40029
9.758825,0.04082,34.39677
9.82733,0.051602,34.40853
9.81618,0.066847,34.41471
9.793044,0.053404,34.41735
9.766479,0.05446,34.41353
9.806257,0.045849,34.40147
9.812353,0.043451,34.39853
9.752722,0.042623,34.4003
9.765324,0.06418,34.40853
9.7898,0.055912,34.4203
9.818244,0.071966,34.4053
9.777122,0.046817,34.41471
9.73965,0.058736,34.42559
9.802959,0.06483,34.43088
9.73635,0.028601,34.42471
9.772959,0.047978,34.42618
9.791451,0.035397,34.42677
9.743353,0.044303,34.44176
9.814191,0.049725,34.4347
9.846002,0.057052,34.43412
9.815676,0.038165,34.42265
9.803245,0.063291,34.4153
9.75783,0.044336,34.41971
9.788469,0.067496,34.4147
9.774994,0.061955,34.40794
9.82202,0.04378,34.41029
9.767982,0.057317,34.40176
9.823854,0.061626,34.40176
9.752729,0.069695,34.39853
9.745245,0.041712,34.38353
9.824374,0.058419,34.39441
9.739182,0.040591,34.39794
9.822165,0.054339,34.39559
9.779391,0.037988,34.39235
9.80257,0.056916,34.39
9.743237,0.051016,34.39206
9.801007,0.049195,34.39412
9.756249,0.063047,34.39735
9.761359,0.065372,34.40147
9.852298,0.058874,34.41236
9.837756,0.045147,34.41323
9.743017,0.051187,34.40559
9.822174,0.045468,34.41323
9.766989,0.053717,34.41412
9.789921,0.046974,34.42617
9.80189,0.042025,34.42617
9.815173,0.06021,34.42176
9.813685,0.057206,34.41177
9.844105,0.036394,34.41148
9.776674,0.068777,34.4103
9.846415,0.038006,34.4003
9.798079,0.046889,34.40265
9.77655,0.04296,34.39883
9.759076,0.044515,34.40294
9.746658,0.035571,34.39824
9.786245,0.045242,34.40941
9.788559,0.038751,34.39971
9.77788,0.060412,34.39
9.758451,0.048056,34.39117
9.722187,0.032807,34.38588
9.767731,0.041274,34.39588
9.719179,0.034001,34.38853
9.754968,0.048365,34.38383
9.753738,0.047072,34.40441
9.760619,0.048721,34.40765
9.771718,0.041259,34.39677
9.829086,0.041796,34.40235
9.810482,0.040441,34.39294
9.753329,0.03948,34.3903
9.771154,0.059478,34.39177
9.745296,0.050188,34.39529
9.87015,0.041658,34.40853
9.748716,0.034982,34.40471
9.812262,0.042685,34.39912
9.752904,0.047616,34.40265
9.820933,0.052064,34.40706
9.712057,0.034696,34.40353
9.790327,0.036766,34.41677
9.84099,0.033891,34.42706
9.816809,0.048147,34.42794
9.749623,0.036203,34.445
9.804507,0.036538,34.44735
9.737544,0.043593,34.45559
9.743582,0.036861,34.46589
9.753428,0.033327,34.46735
9.792091,0.061808,34.46647
9.839149,0.035098,34.4747
9.713737,0.044677,34.46206
9.784859,0.046359,34.46559
9.812216,0.053958,34.47912
9.842632,0.045543,34.47441
9.841379,0.046414,34.47353
9.807669,0.040124,34.47382
9.792412,0.032936,34.48235
9.76908,0.045666,34.48794
9.793512,0.03091,34.48706
9.877952,0.027933,34.48529
9.791292,0.044059,34.50176
9.714373,0.026047,34.49853
